Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol,Perubahan
30/07/2020,1085,1090,1100,1075,41.23,0.00%
29/07/2020,1085,1085,1095,1070,32.11,-0.46%
28/07/2020,1090,1115,1125,1075,85.97,-1.80%
27/07/2020,1110,1090,1110,1080,26.68,1.83%
24/07/2020,1090,1130,1135,1085,57.48,-3.54%
23/07/2020,1130,1130,1145,1120,64.26,0.44%
22/07/2020,1125,1140,1150,1120,38.75,-0.88%
21/07/2020,1135,1130,1145,1115,52.36,0.44%
20/07/2020,1130,1155,1165,1130,46.51,-2.16%
17/07/2020,1155,1115,1160,1110,93.91,4.05%
16/07/2020,1110,1135,1150,1105,62.09,-1.77%
15/07/2020,1130,1170,1180,1125,60.12,-2.16%
14/07/2020,1155,1145,1170,1125,127.48,0.00%
13/07/2020,1155,1085,1160,1080,134.59,6.45%
10/07/2020,1085,1095,1110,1080,70.08,-0.91%
09/07/2020,1095,1065,1125,1060,138.9,2.82%
08/07/2020,1065,1050,1075,1050,60.12,1.43%
07/07/2020,1050,1080,1085,1050,94.52,-1.41%
06/07/2020,1065,1050,1065,1035,42.4,2.40%
03/07/2020,1040,1060,1080,1035,55.58,-0.95%
02/07/2020,1050,1055,1080,1045,170.25,0.48%
01/07/2020,1045,995,1045,990,98.51,5.03%
30/06/2020,995,1020,1020,990,88.02,-1.00%
29/06/2020,1005,1015,1025,1000,53.48,-0.99%
26/06/2020,1015,1025,1025,1010,40.14,1.00%
25/06/2020,1005,1035,1035,1005,58.91,-3.83%
24/06/2020,1045,1015,1050,1010,80.78,3.98%
23/06/2020,1005,1050,1050,990,80.08,-2.43%
22/06/2020,1030,1050,1055,1020,38.49,-0.96%
19/06/2020,1040,1040,1060,1035,70.2,0.97%
18/06/2020,1030,1065,1075,1030,59.06,-3.74%
17/06/2020,1070,1085,1095,1055,38.94,-0.47%
16/06/2020,1075,1040,1085,1040,48.68,5.39%
15/06/2020,1020,1070,1085,1010,35.36,-3.77%
12/06/2020,1060,1060,1070,1010,49.99,-0.93%
11/06/2020,1070,1100,1110,1055,31.93,-2.73%
10/06/2020,1100,1175,1180,1100,65.47,-6.78%
09/06/2020,1180,1165,1240,1160,117.23,1.72%
08/06/2020,1160,1110,1175,1110,88.61,5.45%
05/06/2020,1100,1130,1130,1085,73.11,-1.79%
04/06/2020,1120,1135,1150,1105,100.66,-3.86%
03/06/2020,1165,1155,1180,1150,89.68,1.75%
02/06/2020,1145,1100,1185,1095,123.82,4.09%
29/05/2020,1100,1015,1100,1015,139.28,6.80%
28/05/2020,1030,1005,1075,1000,137.78,3.00%
27/05/2020,1000,1020,1020,990,47.43,0.00%
26/05/2020,1000,1000,1020,975,49.78,2.04%
20/05/2020,980,1015,1020,970,41.03,-2.49%
19/05/2020,1005,1035,1065,990,85.71,-1.47%
18/05/2020,1020,935,1020,930,76.68,10.27%
15/05/2020,925,955,970,910,38.98,-2.12%
14/05/2020,945,1025,1025,930,89.41,-5.50%
13/05/2020,1000,1005,1040,970,44,-0.50%
12/05/2020,1005,1040,1060,1000,49.63,-2.43%
11/05/2020,1030,1040,1060,1025,62.1,0.49%
08/05/2020,1025,955,1030,955,144.48,7.89%
06/05/2020,950,920,965,900,105.35,4.97%
05/05/2020,905,905,925,895,51.89,1.69%
04/05/2020,890,920,920,870,68.09,-3.26%
30/04/2020,920,895,920,890,82.63,3.95%
29/04/2020,885,895,905,880,43.09,-0.56%
28/04/2020,890,910,915,875,47.89,-1.11%
27/04/2020,900,900,945,885,97.94,2.86%
24/04/2020,875,910,985,870,98.74,-3.31%
23/04/2020,905,900,925,895,50.03,2.26%
22/04/2020,885,930,930,870,64.67,-4.84%
21/04/2020,930,970,970,920,45.01,-5.58%
20/04/2020,985,1030,1045,980,31.89,-4.83%
17/04/2020,1035,1000,1050,990,36.05,6.15%
16/04/2020,975,1035,1035,975,33.91,-6.70%
15/04/2020,1045,1080,1100,1010,29.12,-3.24%
14/04/2020,1080,1040,1080,1040,24.12,3.85%
13/04/2020,1040,1050,1075,1020,13.65,0.00%
09/04/2020,1040,1015,1080,1000,31.57,-2.35%
08/04/2020,1065,1150,1150,1065,44.44,-6.58%
07/04/2020,1140,1190,1200,1075,52.49,-0.87%
06/04/2020,1150,1110,1150,1080,41.5,4.55%
03/04/2020,1100,1055,1100,1040,43.07,5.77%
02/04/2020,1040,980,1055,970,29.92,1.96%
01/04/2020,1020,995,1030,940,56.06,3.03%
31/03/2020,990,925,1020,925,83.01,7.03%
30/03/2020,925,970,970,925,28.45,-6.57%
27/03/2020,990,990,1050,920,77,2.59%
26/03/2020,965,885,1010,870,120.54,13.53%
24/03/2020,850,810,900,780,82.45,9.68%
23/03/2020,775,725,835,695,111.58,4.03%
20/03/2020,745,645,800,610,139.18,15.50%
19/03/2020,645,670,670,645,57.29,-6.52%
18/03/2020,690,725,760,675,85.49,-4.83%
17/03/2020,725,760,760,725,47.57,-6.45%
16/03/2020,775,830,830,775,26.74,-6.63%
13/03/2020,830,790,860,775,90.08,0.00%
12/03/2020,830,900,930,820,75.9,-13.99%
11/03/2020,965,1030,1035,930,70.76,-6.31%
10/03/2020,1030,1020,1060,1010,47.8,1.98%
09/03/2020,1010,1060,1085,1000,85.41,-12.93%
06/03/2020,1160,1140,1180,1140,33.64,-1.28%
05/03/2020,1175,1220,1225,1155,63.96,-2.49%
04/03/2020,1205,1125,1215,1110,85.03,5.70%
03/03/2020,1140,1140,1180,1125,90.99,2.24%
02/03/2020,1115,1175,1195,1100,41.13,-3.46%
